Winner of the election: LIBERAL

Winner of the popular vote: CONSERVATIVE

        RIDING#             NDP    CONSERVATIVE         LIBERAL           GREEN   WINNING PARTY
            193               0               0               0               0      NOT NAMED
            194               0               0               0               0      NOT NAMED
            195               0               0               0               0      NOT NAMED
            196               0               0               0               0      NOT NAMED
            197               0               0               0               0      NOT NAMED
            198               0               0               0               0      NOT NAMED
            199               0               0               0               0      NOT NAMED
            200               0               0               0               0      NOT NAMED
            201               0               0               0               0      NOT NAMED
            202               0               0               0               0      NOT NAMED
            203               0               0               0               0      NOT NAMED
            204               0               0               0               0      NOT NAMED
            205               0               0               0               0      NOT NAMED
            206               0               0               0               0      NOT NAMED
            207               0               0               0               0      NOT NAMED
            208               0               0               0               0      NOT NAMED
            209               0               0               0               0      NOT NAMED
            210               0               0               0               0      NOT NAMED
            211               0               0               0               0      NOT NAMED
            212               0               0               0               0      NOT NAMED
            213               0               0               0               0      NOT NAMED
            214               0               0               0               0      NOT NAMED
            215               0               0               0               0      NOT NAMED
            216               0               0               0               0      NOT NAMED
            217               0               0               0               0      NOT NAMED
            218               0               0               0               0      NOT NAMED
            219               0               0               0               0      NOT NAMED
            220               0               0               0               0      NOT NAMED
            221               0               0               0               0      NOT NAMED
            222               0               0               0               0      NOT NAMED
            223               0               0               0               0      NOT NAMED
            224               0               0               0               0      NOT NAMED
            225               0               0               0               0      NOT NAMED
            226               0               0               0               0      NOT NAMED
            227               0               0               0               0      NOT NAMED
            228               0               0               0               0      NOT NAMED
            229               0               0               0               0      NOT NAMED
            230               0               0               0               0      NOT NAMED
            231               0               0               0               0      NOT NAMED
            232               0               0               0               0      NOT NAMED
            233               0               0               0               0      NOT NAMED
            234               0               0               0               0      NOT NAMED
            235               0               0               0               0      NOT NAMED
            236               0               0               0               0      NOT NAMED
            237               0               0               0               0      NOT NAMED
            238               0               0               0               0      NOT NAMED
            239               0               0               0               0      NOT NAMED
            240               0               0               0               0      NOT NAMED
            241               0               0               0               0      NOT NAMED
            242               0               0               0               0      NOT NAMED
            243               0               0               0               0      NOT NAMED
            244               0               0               0               0      NOT NAMED
            245               0               0               0               0      NOT NAMED
            246               0               0               0               0      NOT NAMED
            247               0               0               0               0      NOT NAMED
            248               0               0               0               0      NOT NAMED
            249               0               0               0               0      NOT NAMED
            250               0               0               0               0      NOT NAMED
            251               0               0               0               0      NOT NAMED
            252               0               0               0               0      NOT NAMED
            253               0               0               0               0      NOT NAMED
            254               0               0               0               0      NOT NAMED
            255               0               0               0               0      NOT NAMED
            256               0               0               0               0      NOT NAMED
            257               0               0               0               0      NOT NAMED
            258               0               0               0               0      NOT NAMED
            259               0               0               0               0      NOT NAMED
            260               0               0               0               0      NOT NAMED
            261               0               0               0               0      NOT NAMED
            262               0               0               0               0      NOT NAMED
            263               0               0               0               0      NOT NAMED
            264               0               0               0               0      NOT NAMED
            265               0               0               0               0      NOT NAMED
            266               0               0               0               0      NOT NAMED
            267               0               0               0               0      NOT NAMED
            268               0               0               0               0      NOT NAMED
            269               0               0               0               0      NOT NAMED
            270               0               0               0               0      NOT NAMED
            271               0               0               0               0      NOT NAMED
            272               0               0               0               0      NOT NAMED
            273               0               0               0               0      NOT NAMED
            274               0               0               0               0      NOT NAMED
            275               0               0               0               0      NOT NAMED
            276               0               0               0               0      NOT NAMED
            277               0               0               0               0      NOT NAMED
            278               0               0               0               0      NOT NAMED
            279               0               0               0               0      NOT NAMED
            280               0               0               0               0      NOT NAMED
            281               0               0               0               0      NOT NAMED
            282               0               0               0               0      NOT NAMED
            283               0               0               0               0      NOT NAMED
            284               0               0               0               0      NOT NAMED
            285               0               0               0               0      NOT NAMED
            286               0               0               0               0      NOT NAMED
            287               0               0               0               0      NOT NAMED
            288               0               0               0               0      NOT NAMED
            289               0               0               0               0      NOT NAMED
            290               0               0               0               0      NOT NAMED
            291               0               0               0               0      NOT NAMED
            292               0               0               0               0      NOT NAMED
            293               0               0               0               0      NOT NAMED
            294               0               0               0               0      NOT NAMED
            295               0               0               0               0      NOT NAMED
            296               0               0               0               0      NOT NAMED
            297               0               0               0               0      NOT NAMED
            298               0               0               0               0      NOT NAMED
            299               0               0               0               0      NOT NAMED
            300               0               0               0               0      NOT NAMED
            301               0               0               0               0      NOT NAMED
            302               0               0               0               0      NOT NAMED
            303               0               0               0               0      NOT NAMED
            304               0               0               0               0      NOT NAMED
            305               0               0               0               0      NOT NAMED
            306               0               0               0               0      NOT NAMED
            307               0               0               0               0      NOT NAMED
            308               0               0               0               0      NOT NAMED
            309               0               0               0               0      NOT NAMED
            310               0               0               0               0      NOT NAMED
            311               0               0               0               0      NOT NAMED
            312               0               0               0               0      NOT NAMED
            313               0               0               0               0      NOT NAMED
            314               0               0               0               0      NOT NAMED
            315               0               0               0               0      NOT NAMED
            316               0               0               0               0      NOT NAMED
            317               0               0               0               0      NOT NAMED
            318               0               0               0               0      NOT NAMED
            319               0               0               0               0      NOT NAMED
            320               0               0               0               0      NOT NAMED
            321               0               0               0               0      NOT NAMED
            322               0               0               0               0      NOT NAMED
            323               0               0               0               0      NOT NAMED
            324               0               0               0               0      NOT NAMED
            325               0               0               0               0      NOT NAMED
            326               0               0               0               0      NOT NAMED
            327               0               0               0               0      NOT NAMED
            328               0               0               0               0      NOT NAMED
            329               0               0               0               0      NOT NAMED
            330               0               0               0               0      NOT NAMED
            331               0               0               0               0      NOT NAMED
            332               0               0               0               0      NOT NAMED
            333               0               0               0               0      NOT NAMED
            334               0               0               0               0      NOT NAMED
            335               0               0               0               0      NOT NAMED
            336               0               0               0               0      NOT NAMED
            337               0               0               0               0      NOT NAMED
